,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-03-12,1453.51811,507.407932001536,2348.0414443783975,1453.51811,1453.51811,0.0,0.0,0.0,0.0,0.0,0.0,1453.51811
1,2016-03-13,1356.0628583333335,520.0661314905583,2246.116066236346,1356.0628583333335,1356.0628583333335,0.0,0.0,0.0,0.0,0.0,0.0,1356.0628583333335
2,2016-03-14,1258.6076066228818,364.2671330462824,2178.0254055302157,1258.6076066228818,1258.6076066228818,0.0,0.0,0.0,0.0,0.0,0.0,1258.6076066228818
3,2016-03-15,1161.1523548469863,315.1160984818437,2040.7887721574648,1161.1523548469863,1161.1523548469863,0.0,0.0,0.0,0.0,0.0,0.0,1161.1523548469863
4,2016-03-16,1063.6971031170244,164.06865226614835,1923.0226930628735,1063.6971031170244,1063.6971031170244,0.0,0.0,0.0,0.0,0.0,0.0,1063.6971031170244
5,2016-03-17,966.2418514096214,142.4869920509112,1897.3093156236623,966.2418514096214,966.2418514096214,0.0,0.0,0.0,0.0,0.0,0.0,966.2418514096214
6,2016-03-18,868.7865996645228,-13.01993267272438,1805.8089264300843,868.7865996645228,868.7865996645228,0.0,0.0,0.0,0.0,0.0,0.0,868.7865996645228
7,2016-03-19,771.3313479215983,-121.4091825060671,1670.3255306313367,771.3313479215983,771.3313479215983,0.0,0.0,0.0,0.0,0.0,0.0,771.3313479215983
8,2016-03-20,673.8760962392929,-213.40481469861552,1636.6995655757464,673.8760962392929,673.8760962392929,0.0,0.0,0.0,0.0,0.0,0.0,673.8760962392929
9,2016-03-21,576.4208445569874,-376.3886968024873,1456.6489007365524,576.4208445569874,576.4208445569874,0.0,0.0,0.0,0.0,0.0,0.0,576.4208445569874
10,2016-03-22,478.96559287468193,-384.45868128907085,1404.7534034939133,478.9655909058078,478.9655950674912,0.0,0.0,0.0,0.0,0.0,0.0,478.96559287468193
11,2016-03-23,381.5103411923765,-398.1226933356067,1246.9421093834294,381.51033448005273,381.510348234673,0.0,0.0,0.0,0.0,0.0,0.0,381.5103411923765
12,2016-03-24,284.0550895100712,-578.2270942192567,1200.8535298520549,284.05507648714155,284.05510273088856,0.0,0.0,0.0,0.0,0.0,0.0,284.0550895100712
